Codigo;Nombre
A;Enfermería Universitaria
B;Arquitectura Naval
C;Control de Calidad para la industria metal-mecánica
D;Ingeniería en Automatización y Control Industrial
E;Ingeniería en Alimentos
F;Licenciatura en Terapia Ocupacional
G;Licenciatura en Composición con Medios Electroacústicos
H;Licenciatura en Educación
I;Licenciatura en Comunicación Social
J;Licenciatura en Administración Hotelera
J2;Tecnicatura Universitaria en Administración Hotelera
K;Licenciatura en Comercio Internacional
L;Licenciatura en Biotecnología
N2;Tecnicatura Laboratorista Universitario
P;Tecnicatura Universitaria en Programación Informática
Q;Profesorado de Ciencias Sociales
O;Licenciatura en Ciencias Sociales
R;Profesorado de Comunicación Social
S;Profesorado de Educación
N;Diplomatura en Ciencia y Tecnología
M;Diplomatura en Ciencias Sociales
T;Diplomatura en Economía y Administración
A1;Licenciatura en Enfermería
G1;Licenciatura en Música y Tecnología
U;Tecnicatura Universitaria en Economía Social y Solidaria
V;Licenciatura en Historia (Ciclo de Complementación Curricular)
V1;Licenciatura en Historia
W;Licenciatura en Desarrollo de Software
H1;Licenciatura en Educación (Ciclo de Complementación Curricular)
