Codigo Carrera;Plan;Cuatrimestre;Nucleo;Area;Codigo;Creditos;Nombre
W;2012;;;Taller;751;4;Taller de Trabajo Intelectual
W;2012;;;Taller;752;4;Taller de Trabajo Universitario
W;2012;;;Inglés;90000;0;Inglés I
W;2012;;;Inglés;90028;0;Inglés II
W;2012;1;B;Matemática;1033;16;Matemática I
W;2012;1;B;Programación;487;16;Introducción a la Programación
W;2012;1;B;Sistemas Informáticos;1032;12;Organización de Computadoras
W;2012;2;B;Programación;1036;16;Estructuras de Datos
W;2012;2;B;Programación;1034;16;Programación con Objetos I
W;2012;2;B;Programación;1035;12;Bases de Datos
W;2012;3;B;Matemática;1041;8;Matemática II
W;2012;3;B;Programación;1037;12;Programación con Objetos II
W;2012;3;B;Sistemas Informáticos;1038;12;Redes de Computadoras
W;2012;3;B;Sistemas Informáticos;1039;12;Sistemas Operativos
W;2012;4;B;Programación;1045;8;Programación Funcional
W;2012;4;B;Desarrollo de Software;1043;12;Construcción de Interfaces de Usuario
W;2012;4;B;Desarrollo de Software;1044;12;Estrategias de Persistencia
W;2012;4;B;Sistemas Informáticos;1047;8;Laboratorio de Sistemas Operativos y Redes
W;2012;5;B;Matemática;54;12;Análisis Matemático
W;2012;5;B;Teoría de la Computación;1302;12;Lógica y Programación
W;2012;5;B;Procesos Informáticos;1042;12;Elementos de Ingeniería de Software
W;2012;5;B;Sistemas Informáticos;1303;8;Seguridad de la Información
W;2012;6;B;Matemática;842;8;Matemática III
W;2012;6;B;Programación;1040;12;Programación Concurrente
W;2012;6;B;Procesos Informáticos;1304;8;Gestión de Proyectos de Desarrollo de Software
W;2012;6;B;Desarrollo de Software;1305;16;Práctica del Desarrollo de Software
W;2012;7;B;Matemática;604;12;Probabilidad y Estadística
W;2012;7;B;Teoría de la Computación;1306;8;Lenguajes Formales y Autómatas
W;2012;7;B;Teoría de la Computación;1307;12;Algoritmos
W;2012;7;B;Procesos Informáticos;1308;8;Ingeniería de Requerimientos
W;2012;8;A;Teoría de la Computación;1309;8;Teoría de la Computación
W;2012;8;A;Desarrollo de Software;1051;8;Programación con objetos III
W;2012;8;A;Desarrollo de Software;1310;12;Arquitectura de Software I
W;2012;8;A;Sistemas Informáticos;1311;8;Sistemas Distribuidos
W;2012;9;A;Teoría de la Computación;1312;8;Características de Lenguajes de Programación
W;2012;9;A;Desarrollo de Software;1313;12;Arquitectura de Software II
W;2012;9;A;Sistemas Informáticos;1314;8;Arquitectura de Computadoras
W;2012;10;A;Teoría de la Computación;1315;8;Parseo y Generación de Código
W;2012;10;A;Procesos Informáticos;1316;8;Aspectos Legales y Sociales
W;2012;;C;Programación;1048;8;Bases de Datos II
W;2012;;C;Procesos Informáticos;1049;8;Participación y Gestión en Proyectos de Software Libre
W;2012;;C;Sistemas Informáticos;1052;8;Introducción a la Bioinformática
W;2012;;C;Procesos Informáticos;1053;8;Políticas Públicas en la Sociedad de la Información y la Era Digital
W;2012;;C;Sistemas Informáticos;1054;8;Sistemas de Información Geográfica
W;2012;;C;Desarrollo de Software;1055;8;Herramientas Declarativas en Programación
W;2012;;C;Desarrollo de Software;1056;8;Introducción al Desarrollo de Videojuegos
W;2012;;C;Procesos Informáticos;1057;8;Derechos de Autor y Derecho de Copia en la Era Digital
W;2012;;C;Teoría de la Computación;1318;8;Análisis Estático de Programas y Herramientas Asociadas
W;2012;;C;Teoría de la Computación;1319;8;Semántica de Lenguajes de Programación
W;2012;;C;Sistemas Informáticos;940;8;Redes Neuronales
W;2012;;C;Sistemas Informáticos;1058;8;Introducción a la Electrónica y Programación de Controladores con Arduino
W;2012;;C;Programación;1328;8;Televisión Digital
W;2012;;C;Programación;1059;4;Seminarios sobre Herramientas o Técnicas Puntuales
W;2015;;;Taller;751;4;Taller de Trabajo Intelectual
W;2015;;;Taller;752;4;Taller de Trabajo Universitario
W;2015;;;Inglés;90000;6;Inglés I
W;2015;;;Inglés;90028;6;Inglés II
W;2015;1;I;Introducción;80000;10;Lectura y escritura académica
W;2015;1;I;Introducción;80003;10;Matemática
W;2015;1;I;Introducción;80005;10;Elementos de programación y lógica
W;2015;2;B;Matemática;1033;16;Matemática I
W;2015;2;B;Programación;487;16;Introducción a la Programación
W;2015;2;B;Sistemas Informáticos;1032;12;Organización de Computadoras
W;2015;3;B;Programación;1036;16;Estructuras de Datos
W;2015;3;B;Programación;1034;16;Programación con Objetos I
W;2015;3;B;Programación;1035;12;Bases de Datos
W;2015;4;B;Matemática;1041;8;Matemática II
W;2015;4;B;Programación;1037;12;Programación con Objetos II
W;2015;4;B;Sistemas Informáticos;1038;12;Redes de Computadoras
W;2015;4;B;Sistemas Informáticos;1039;12;Sistemas Operativos
W;2015;4;B;Programación;1045;8;Programación Funcional
W;2015;5;B;Desarrollo de Software;1043;12;Construcción de Interfaces de Usuario
W;2015;5;B;Teoría de la Computación;1307;12;Algoritmos
W;2015;5;B;Desarrollo de Software;1044;12;Estrategias de Persistencia
W;2015;5;B;Sistemas Informáticos;1047;8;Laboratorio de Sistemas Operativos y Redes
W;2015;6;B;Matemática;54;12;Análisis Matemático
W;2015;6;B;Teoría de la Computación;1302;12;Lógica y Programación
W;2015;6;B;Procesos Informáticos;1042;12;Elementos de Ingeniería de Software
W;2015;6;B;Sistemas Informáticos;1303;8;Seguridad de la Información
W;2015;7;B;Matemática;842;8;Matemática III
W;2015;7;B;Programación;1040;8;Programación Concurrente
W;2015;7;B;Procesos Informáticos;1308;8;Ingeniería de Requerimientos
W;2015;7;B;Desarrollo de Software;1305;16;Práctica del Desarrollo de Software
W;2015;8;B;Matemática;604;12;Probabilidad y Estadística
W;2015;8;B;Procesos Informáticos;1304;8;Gestión de Proyectos de Desarrollo de Software
W;2015;8;B;Teoría de la Computación;1306;8;Lenguajes Formales y Autómatas
W;2015;8;A;Desarrollo de Software;1051;8;Programación con objetos III
W;2015;9;A;Teoría de la Computación;1309;8;Teoría de la Computación
W;2015;9;A;Desarrollo de Software;1310;12;Arquitectura de Software I
W;2015;9;A;Sistemas Informáticos;1311;8;Sistemas Distribuidos
W;2015;10;A;Teoría de la Computación;1312;8;Características de Lenguajes de Programación
W;2015;10;A;Desarrollo de Software;1313;12;Arquitectura de Software II
W;2015;10;A;Sistemas Informáticos;1314;8;Arquitectura de Computadoras
W;2015;11;A;Teoría de la Computación;1315;8;Parseo y Generación de Código
W;2015;11;A;Procesos Informáticos;1316;8;Aspectos Legales y Sociales
W;2015;;C;Programación;1048;8;Bases de Datos II
W;2015;;C;Procesos Informáticos;1049;8;Participación y Gestión en Proyectos de Software Libre
W;2015;;C;Sistemas Informáticos;1052;8;Introducción a la Bioinformática
W;2015;;C;Procesos Informáticos;1053;8;Políticas Públicas en la Sociedad de la Información y la Era Digital
W;2015;;C;Sistemas Informáticos;1054;8;Sistemas de Información Geográfica
W;2015;;C;Desarrollo de Software;1055;8;Herramientas Declarativas en Programación
