Codigo Carrera;Plan;Cuatrimestre;Nucleo;Area;Codigo;Creditos;Nombre;;;;
P;2007;;A;Procesos Informáticos;390;0;Administración de Proyectos;;;;
P;2007;;B;Matemática;189;0;Álgebra y Geometría Analítica;;;;
P;2007;;B;Matemática;54;0;Análisis Matemático I;;;;
P;2007;;A;Matemática;55;0;Análisis Matemático II;;;;
P;2007;;C;Sistemas Informáticos;225;0;Bioinformática;;;;
P;2007;;C;Procesos Informáticos;390;0;Ética Profesional;;;;
P;2007;;C;Matemática;942;0;Física;;;;
P;2007;;C;Sistemas Informáticos;419;0;Genética Molecular;;;;
P;2007;;C;Sistemas Informáticos;943;0;Informática Industrial;;;;
P;2007;;;Inglés;90000;0;Inglés I;;;;
P;2007;;;Inglés;90028;0;Inglés II;;;;
P;2007;;C;Sistemas Informáticos;471;0;Introducción a la Automatización y Control;;;;
P;2007;;B;Programación;487;0;Introducción a la Programación;;;;
P;2007;;B;Programación;481;0;Introducción a las Bases de Datos;;;;
P;2007;;C;Programación;941;0;Laboratorio de Bases de Datos;;;;
P;2007;;A;Sistemas Informáticos;937;0;Laboratorio de Lenguajes de Programación;;;;
P;2007;;A;Sistemas Informáticos;934;0;Laboratorio de Sistemas Operativos;;;;
P;2007;;B;Sistemas Informáticos;557;0;Organización y Arquitectura I;;;;
P;2007;;A;Programación;933;0;Organización y Arquitectura II;;;;
P;2007;;C;Programación;938;0;"Principios de ""Testing""";;;;1307
P;2007;;C;Matemática;944;0;Química;;;;
P;2007;;C;Sistemas Informáticos;940;0;Redes Neuronales;;;;
P;2007;;B;Procesos Informáticos;646;0;Seguridad Informática;;;;
P;2007;;C;Procesos Informáticos;939;0;Sistemas de Gestión Calidad del Software;;;;
P;2007;;B;Sistemas Informáticos;711;0;Sistemas Operativos I;;;;
P;2007;;A;Programación;932;0;Sistemas Operativos II;;;;
P;2007;;B;Programación;763;0;Técnicas Avanzadas de Programación;;;;
P;2007;;B;Sistemas Informáticos;770;0;Tecnología de Redes I;;;;
P;2007;;A;Sistemas Informáticos;935;0;Tecnología de Redes II;;;;
P;2010;;C;Teoría de la Computación;1307;8;Algoritmos;;;;
P;2010;;C;Sistemas Informáticos;1314;8;Arquitectura de Computadoras;;;;
