Carrera;Plan;Materia;Obligatorias;Recomendadas
W;2012;1307;1045;
W;2012;54;1041;
W;2012;1314;1047;
W;2012;1310;1040, 1305, 1304, 1303;
W;2012;1313;"1310, 1311
";
W;2012;1035;;1033, 487
W;2012;1312;1302;"1033, 1306
"
W;2012;1042;1037;1044
W;2012;1044;1035, 1037;
W;2012;1036;487;
W;2012;1304;1308;
W;2012;1308;1042;
W;2012;90028;;90000
W;2012;1043;1037;
W;2012;487;;
W;2012;1047;1038, 1039;
W;2012;1306;1302;
W;2012;1302;1033, 487;
W;2012;1033;;
W;2012;1041;1033;
W;2012;842;54;
W;2012;1032;;
W;2012;1315;1306, 1312;
W;2012;1305;1042, 1044;
W;2012;604;842;
W;2012;1034;1032, 487;
W;2012;1037;1034;
W;2012;1051;1037;1045, 1044, 
W;2012;1040;1036;1037
W;2012;1045;1036;1041, 1033
W;2012;1038;1032;
W;2012;940;;1036, 604
W;2012;1303;1047;1038, 1033, 1035
W;2012;1319;;1312, 1041, 1306
W;2012;1058;;487, 1032, 1034, 1036
W;2012;1328;;1037, 1038, 1036
W;2012;1311;1040, 1047;
W;2012;1039;1032, 487;1036, 1034
W;2012;1309;1306;1307
W;2015;1307;1045;
W;2015;54;1041;
W;2015;1314;1047;
W;2015;1310;1040, 1305, 1304, 1303;
W;2015;1313;"1310, 1311
";
W;2015;1035;;1033, 487
W;2015;1312;1302;"1033, 1306
"
W;2015;1042;1037;1044
W;2015;1044;1035, 1037;
W;2015;1036;487;
W;2015;1304;1308;
W;2015;1308;1042;
W;2015;90028;;90000
W;2015;1043;1037;
W;2015;487;80005;
W;2015;1047;1038, 1039;
W;2015;1306;1302;
W;2015;1302;1033, 487;
W;2015;1033;80005, 80003;
W;2015;1041;1033;
W;2015;842;54;
W;2015;1032;80005;
W;2015;1315;1306, 1312;
W;2015;1305;1042, 1044;
W;2015;604;842;
W;2015;1034;1032, 487;
W;2015;1037;1034;
W;2015;1051;1037;1045, 1044, 
W;2015;1040;1036;1037
W;2015;1045;1036;1041, 1033
W;2015;1038;1032;
W;2015;940;;1036, 604
W;2015;1303;1047;1038, 1033, 1035
W;2015;1319;;1312, 1041, 1306
W;2015;1058;;487, 1032, 1034, 1036
W;2015;1328;;1037, 1038, 1036
W;2015;1311;1040, 1047;
W;2015;1039;1032, 487;1036, 1034
W;2015;1309;1306;1307
W;2019;1307;1045;
W;2019;54;1041;
W;2019;1314;1047;
W;2019;1310;1040, 1305, 1304, 1303;
W;2019;1313;"1310, 1311
";
W;2019;1035;;1033, 487
W;2019;1312;1302;"1033, 1306
"
W;2019;1042;1037;1044
W;2019;1044;1035, 1037;
W;2019;1036;487;
W;2019;1304;1308;
W;2019;1308;1042;
W;2019;90028;;90000
W;2019;1043;1037;
W;2019;487;80005;
W;2019;1047;1038, 1039;
W;2019;1306;1302;
W;2019;1302;1033, 487;
W;2019;1033;80005, 80003;
W;2019;1041;1033;
W;2019;842;54;
W;2019;1032;80005;
W;2019;1315;1306, 1312;
W;2019;1305;1042, 1044;
W;2019;604;842;
W;2019;1034;1032, 487;
W;2019;1037;1034;
W;2019;1051;1037;1045, 1044, 
W;2019;1040;1036;1037
W;2019;1045;1036;1041, 1033
W;2019;1038;1032;
W;2019;940;;1036, 604
W;2019;1303;1047;1038, 1033, 1035
W;2019;1319;;1312, 1041, 1306
W;2019;1058;;487, 1032, 1034, 1036
W;2019;1328;;1037, 1038, 1036
W;2019;1311;1040, 1047;
W;2019;1039;1032, 487;1036, 1034
W;2019;1309;1306;1307
W;2019;1709;;"1312, 1041, 604
"
W;2019;1708;;1045, 842
