Carrera;Plan;Materia;Obligatorias;Recomendadas
P;2010;1046;"1043, 1042, 1044
";
P;2010;646;1047;1033, 1035
P;2010;1307;1045;
P;2010;1314;1047;
P;2010;1035;;1033, 487
P;2010;1312;1302;"1033, 1306
"
P;2010;1042;1037;1044
P;2010;1044;1035, 1037;
P;2010;1036;487;
P;2010;1304;1308;
P;2010;1308;1042;
P;2010;90028;;90000
P;2010;1043;1037;
P;2010;487;;
P;2010;1047;1038, 1039;
P;2010;1306;1302;
P;2010;1302;1033, 487;
P;2010;1033;;
P;2010;1041;1033;
P;2010;1032;;
P;2010;1305;1042, 1044;
P;2010;1034;1032, 487;
P;2010;1037;1034;
P;2010;1051;1037;1045, 1044, 
P;2010;1040;1036;1037
P;2010;1045;1036;1041, 1033
P;2010;1038;1032;
P;2010;1328;;1037, 1038, 1036
P;2010;1311;1040, 1047;
P;2010;1039;1032, 487;1036, 1034
P;2015;1046;"1043, 1042, 1044
";
P;2015;646;1047;1038, 1033, 1035
P;2015;1307;1045;
P;2015;1314;1047;
P;2015;1035;;1033, 487
P;2015;1312;1302;"1033, 1306
"
P;2015;1042;1037;1044
P;2015;1044;1035, 1037;
P;2015;1036;487;
P;2015;1304;1308;
P;2015;1308;1042;
P;2015;90028;;90000
P;2015;1043;1037;
P;2015;487;80005;
P;2015;1047;1038, 1039;
P;2015;1306;1302;
P;2015;1302;1033, 487;
P;2015;1033;80005, 80003;
P;2015;1041;1033;
P;2015;1032;80005;
P;2015;1305;1042, 1044;
P;2015;1034;1032, 487;
P;2015;1037;1034;
P;2015;1051;1037;1045, 1044, 
P;2015;1040;1036;1037
P;2015;1045;1036;1041, 1033
P;2015;1038;1032;
P;2015;1058;;487, 1032, 1034, 1036
P;2015;1328;;1037, 1038, 1036
P;2015;1311;1040, 1047;
P;2015;1039;1032, 487;1036, 1034
